                                                   
{'loss': 1.4432, 'grad_norm': 16.352027893066406, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9725, 'grad_norm': 1.3582062721252441, 'learning_rate': 9.729729729729732e-06, 'epoch': 0.05}
{'loss': 1.0023, 'grad_norm': 1.3471916913986206, 'learning_rate': 1.027027027027027e-05, 'epoch': 0.05}
{'loss': 0.9585, 'grad_norm': 1.4322600364685059, 'learning_rate': 1.0810810810810812e-05, 'epoch': 0.05}
{'loss': 0.9293, 'grad_norm': 1.340967059135437, 'learning_rate': 1.1351351351351352e-05, 'epoch': 0.05}
{'loss': 1.0123, 'grad_norm': 1.2810111045837402, 'learning_rate': 1.1891891891891894e-05, 'epoch': 0.06}
{'loss': 0.9611, 'grad_norm': 1.3320306539535522, 'learning_rate': 1.2432432432432433e-05, 'epoch': 0.06}
{'loss': 0.9417, 'grad_norm': 1.2612122297286987, 'learning_rate': 1.2972972972972975e-05, 'epoch': 0.06}
{'loss': 0.973, 'grad_norm': 1.3033368587493896, 'learning_rate': 1.3513513513513515e-05, 'epoch': 0.06}
{'loss': 0.9696, 'grad_norm': 1.344281554222107, 'learning_rate': 1.4054054054054055e-05, 'epoch': 0.07}
{'loss': 0.9202, 'grad_norm': 1.2884012460708618, 'learning_rate': 1.4594594594594596e-05, 'epoch': 0.07}
{'loss': 0.993, 'grad_norm': 1.2248060703277588, 'learning_rate': 1.5135135135135138e-05, 'epoch': 0.07}
{'loss': 0.9831, 'grad_norm': 1.2676589488983154, 'learning_rate': 1.5675675675675676e-05, 'epoch': 0.07}
{'loss': 0.9701, 'grad_norm': 1.3484902381896973, 'learning_rate': 1.6216216216216218e-05, 'epoch': 0.08}
{'loss': 0.9259, 'grad_norm': 1.370514988899231, 'learning_rate': 1.6756756756756757e-05, 'epoch': 0.08}
{'loss': 0.9523, 'grad_norm': 1.1697287559509277, 'learning_rate': 1.72972972972973e-05, 'epoch': 0.08}
{'loss': 0.9877, 'grad_norm': 1.3543280363082886, 'learning_rate': 1.783783783783784e-05, 'epoch': 0.08}
{'loss': 0.9548, 'grad_norm': 1.0994197130203247, 'learning_rate': 1.8378378378378383e-05, 'epoch': 0.09}
{'loss': 0.9997, 'grad_norm': 1.205413579940796, 'learning_rate': 1.891891891891892e-05, 'epoch': 0.09}
{'loss': 0.9979, 'grad_norm': 1.1387054920196533, 'learning_rate': 1.9459459459459463e-05, 'epoch': 0.09}
{'loss': 0.9574, 'grad_norm': 1.0453301668167114, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 1.0137, 'grad_norm': 1.0973968505859375, 'learning_rate': 1.9999964438594985e-05, 'epoch': 0.1}
{'loss': 1.0055, 'grad_norm': 1.2228035926818848, 'learning_rate': 1.9999857754632864e-05, 'epoch': 0.1}
{'loss': 0.9755, 'grad_norm': 1.1769957542419434, 'learning_rate': 1.9999679948872396e-05, 'epoch': 0.1}
{'loss': 0.9742, 'grad_norm': 1.0686743259429932, 'learning_rate': 1.9999431022578194e-05, 'epoch': 0.1}
{'loss': 0.9673, 'grad_norm': 1.1763007640838623, 'learning_rate': 1.9999110977520687e-05, 'epoch': 0.11}
{'loss': 1.0219, 'grad_norm': 1.1922141313552856, 'learning_rate': 1.999871981597613e-05, 'epoch': 0.11}
{'loss': 0.9151, 'grad_norm': 1.1385998725891113, 'learning_rate': 1.999825754072657e-05, 'epoch': 0.11}
{'loss': 0.9397, 'grad_norm': 1.1251721382141113, 'learning_rate': 1.9997724155059836e-05, 'epoch': 0.11}
{'loss': 0.9636, 'grad_norm': 1.2194106578826904, 'learning_rate': 1.9997119662769523e-05, 'epoch': 0.12}
{'loss': 1.0248, 'grad_norm': 1.2619878053665161, 'learning_rate': 1.999644406815495e-05, 'epoch': 0.12}
{'loss': 0.9084, 'grad_norm': 1.1457061767578125, 'learning_rate': 1.9995697376021125e-05, 'epoch': 0.12}
{'loss': 0.9632, 'grad_norm': 1.173371434211731, 'learning_rate': 1.9994879591678744e-05, 'epoch': 0.12}
{'loss': 0.968, 'grad_norm': 1.0824551582336426, 'learning_rate': 1.9993990720944115e-05, 'epoch': 0.13}
{'loss': 0.9817, 'grad_norm': 1.2343828678131104, 'learning_rate': 1.999303077013914e-05, 'epoch': 0.13}
{'loss': 0.9592, 'grad_norm': 1.1534379720687866, 'learning_rate': 1.999199974609125e-05, 'epoch': 0.13}
{'loss': 0.9851, 'grad_norm': 1.1543338298797607, 'learning_rate': 1.9990897656133385e-05, 'epoch': 0.13}
{'loss': 0.9652, 'grad_norm': 1.0664889812469482, 'learning_rate': 1.9989724508103916e-05, 'epoch': 0.14}
{'loss': 0.9231, 'grad_norm': 1.1033461093902588, 'learning_rate': 1.9988480310346606e-05, 'epoch': 0.14}
{'loss': 0.9879, 'grad_norm': 1.2262977361679077, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.14}
{'loss': 0.9632, 'grad_norm': 1.228186011314392, 'learning_rate': 1.9985778801550044e-05, 'epoch': 0.14}
{'loss': 0.9412, 'grad_norm': 1.055774211883545, 'learning_rate': 1.9984321509724684e-05, 'epoch': 0.15}
{'loss': 0.9992, 'grad_norm': 1.1431124210357666, 'learning_rate': 1.998279320659912e-05, 'epoch': 0.15}
{'loss': 0.9546, 'grad_norm': 1.055424451828003, 'learning_rate': 1.9981193903043077e-05, 'epoch': 0.15}
{'loss': 0.9361, 'grad_norm': 0.9450445771217346, 'learning_rate': 1.997952361043125e-05, 'epoch': 0.15}
{'loss': 0.9977, 'grad_norm': 1.0708354711532593, 'learning_rate': 1.997778234064323e-05, 'epoch': 0.16}
{'loss': 0.9358, 'grad_norm': 1.1416409015655518, 'learning_rate': 1.9975970106063417e-05, 'epoch': 0.16}
{'loss': 0.982, 'grad_norm': 1.0763306617736816, 'learning_rate': 1.9974086919580927e-05, 'epoch': 0.16}
{'loss': 0.9315, 'grad_norm': 1.0916249752044678, 'learning_rate': 1.9972132794589515e-05, 'epoch': 0.16}
{'loss': 0.9356, 'grad_norm': 0.9590449333190918, 'learning_rate': 1.9970107744987476e-05, 'epoch': 0.17}
{'loss': 0.9638, 'grad_norm': 1.0465701818466187, 'learning_rate': 1.9968011785177515e-05, 'epoch': 0.17}
{'loss': 0.9212, 'grad_norm': 1.0625969171524048, 'learning_rate': 1.99658449300667e-05, 'epoch': 0.17}
{'loss': 1.0117, 'grad_norm': 1.1676305532455444, 'learning_rate': 1.996360719506631e-05, 'epoch': 0.17}
{'loss': 1.0289, 'grad_norm': 1.1338200569152832, 'learning_rate': 1.996129859609174e-05, 'epoch': 0.18}
{'loss': 0.9527, 'grad_norm': 0.9505979418754578, 'learning_rate': 1.9958919149562405e-05, 'epoch': 0.18}
{'loss': 0.9534, 'grad_norm': 1.0595587491989136, 'learning_rate': 1.9956468872401588e-05, 'epoch': 0.18}
{'loss': 1.0008, 'grad_norm': 1.125098466873169, 'learning_rate': 1.9953947782036353e-05, 'epoch': 0.18}
{'loss': 0.958, 'grad_norm': 0.9936327934265137, 'learning_rate': 1.99513558963974e-05, 'epoch': 0.19}
{'loss': 0.9592, 'grad_norm': 1.053236722946167, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.19}
{'loss': 0.9793, 'grad_norm': 1.0531097650527954, 'learning_rate': 1.9945959813538615e-05, 'epoch': 0.19}
{'loss': 0.9682, 'grad_norm': 1.0480573177337646, 'learning_rate': 1.994315565469723e-05, 'epoch': 0.19}
{'loss': 0.9155, 'grad_norm': 1.0297077894210815, 'learning_rate': 1.994028077733878e-05, 'epoch': 0.2}
{'loss': 1.0141, 'grad_norm': 1.03657865524292, 'learning_rate': 1.9937335201910187e-05, 'epoch': 0.2}
{'loss': 1.0028, 'grad_norm': 1.0933210849761963, 'learning_rate': 1.9934318949361218e-05, 'epoch': 0.2}
{'loss': 0.9384, 'grad_norm': 0.9935190081596375, 'learning_rate': 1.9931232041144308e-05, 'epoch': 0.2}
{'loss': 0.9979, 'grad_norm': 1.1287386417388916, 'learning_rate': 1.992807449921441e-05, 'epoch': 0.21}
{'loss': 0.9321, 'grad_norm': 0.9815153479576111, 'learning_rate': 1.9924846346028858e-05, 'epoch': 0.21}
{'loss': 0.9671, 'grad_norm': 0.9941682815551758, 'learning_rate': 1.992154760454718e-05, 'epoch': 0.21}
{'loss': 0.9188, 'grad_norm': 1.004697561264038, 'learning_rate': 1.9918178298230955e-05, 'epoch': 0.21}
{'loss': 0.9233, 'grad_norm': 1.0740094184875488, 'learning_rate': 1.9914738451043633e-05, 'epoch': 0.22}
{'loss': 0.9672, 'grad_norm': 0.9764972925186157, 'learning_rate': 1.9911228087450375e-05, 'epoch': 0.22}
{'loss': 0.9143, 'grad_norm': 1.0556787252426147, 'learning_rate': 1.9907647232417873e-05, 'epoch': 0.22}
{'loss': 0.9902, 'grad_norm': 1.1496939659118652, 'learning_rate': 1.9903995911414174e-05, 'epoch': 0.22}
{'loss': 0.9233, 'grad_norm': 0.978070855140686, 'learning_rate': 1.9900274150408503e-05, 'epoch': 0.23}
{'loss': 0.9867, 'grad_norm': 1.1029876470565796, 'learning_rate': 1.9896481975871063e-05, 'epoch': 0.23}
{'loss': 0.9826, 'grad_norm': 1.0897506475448608, 'learning_rate': 1.989261941477287e-05, 'epoch': 0.23}
{'loss': 0.9921, 'grad_norm': 1.1555070877075195, 'learning_rate': 1.9888686494585543e-05, 'epoch': 0.23}
{'loss': 0.9734, 'grad_norm': 1.0240422487258911, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.23}
{'loss': 0.9599, 'grad_norm': 1.0044703483581543, 'learning_rate': 1.9880609689331837e-05, 'epoch': 0.24}
{'loss': 0.9306, 'grad_norm': 1.1005786657333374, 'learning_rate': 1.987646586170996e-05, 'epoch': 0.24}
{'loss': 0.9213, 'grad_norm': 1.1444977521896362, 'learning_rate': 1.9872251789887563e-05, 'epoch': 0.24}
{'loss': 0.961, 'grad_norm': 1.0067850351333618, 'learning_rate': 1.98679675038363e-05, 'epoch': 0.24}
{'loss': 0.983, 'grad_norm': 1.0879864692687988, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.25}
{'loss': 0.9956, 'grad_norm': 1.0806351900100708, 'learning_rate': 1.9859188411430542e-05, 'epoch': 0.25}
{'loss': 0.9553, 'grad_norm': 1.0836234092712402, 'learning_rate': 1.985469366751542e-05, 'epoch': 0.25}
{'loss': 0.9144, 'grad_norm': 1.0205647945404053, 'learning_rate': 1.985012883424973e-05, 'epoch': 0.25}
{'loss': 0.962, 'grad_norm': 0.930668830871582, 'learning_rate': 1.9845493944099856e-05, 'epoch': 0.26}
{'loss': 0.9645, 'grad_norm': 0.9188341498374939, 'learning_rate': 1.984078903003044e-05, 'epoch': 0.26}
{'loss': 0.9832, 'grad_norm': 1.133488655090332, 'learning_rate': 1.9836014125504146e-05, 'epoch': 0.26}
{'loss': 0.9649, 'grad_norm': 1.0383658409118652, 'learning_rate': 1.9831169264481446e-05, 'epoch': 0.26}
{'loss': 1.027, 'grad_norm': 1.0348941087722778, 'learning_rate': 1.9826254481420345e-05, 'epoch': 0.27}
{'loss': 0.9325, 'grad_norm': 1.0728648900985718, 'learning_rate': 1.9821269811276164e-05, 'epoch': 0.27}
{'loss': 0.9691, 'grad_norm': 1.0554612874984741, 'learning_rate': 1.981621528950128e-05, 'epoch': 0.27}
{'loss': 0.9921, 'grad_norm': 1.0885993242263794, 'learning_rate': 1.9811090952044867e-05, 'epoch': 0.27}
{'loss': 0.9524, 'grad_norm': 1.062413215637207, 'learning_rate': 1.980589683535266e-05, 'epoch': 0.28}
{'loss': 0.976, 'grad_norm': 1.012457013130188, 'learning_rate': 1.9800632976366668e-05, 'epoch': 0.28}
{'loss': 0.9399, 'grad_norm': 1.1293420791625977, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.28}
{'loss': 0.9714, 'grad_norm': 1.0061403512954712, 'learning_rate': 1.978989618176129e-05, 'epoch': 0.28}
{'loss': 0.9459, 'grad_norm': 0.9288145303726196, 'learning_rate': 1.9784423322505e-05, 'epoch': 0.29}
{'loss': 0.9813, 'grad_norm': 1.0942785739898682, 'learning_rate': 1.9778880873680587e-05, 'epoch': 0.29}
{'loss': 0.9809, 'grad_norm': 1.0919393301010132, 'learning_rate': 1.9773268874707504e-05, 'epoch': 0.29}
{'loss': 0.9093, 'grad_norm': 0.9835782647132874, 'learning_rate': 1.9767587365499865e-05, 'epoch': 0.29}
{'loss': 0.9898, 'grad_norm': 1.179233431816101, 'learning_rate': 1.976183638646616e-05, 'epoch': 0.3}
{'loss': 0.9727, 'grad_norm': 1.124648094177246, 'learning_rate': 1.975601597850897e-05, 'epoch': 0.3}
{'loss': 0.9605, 'grad_norm': 1.013096809387207, 'learning_rate': 1.975012618302467e-05, 'epoch': 0.3}
{'loss': 0.9384, 'grad_norm': 0.9934800267219543, 'learning_rate': 1.974416704190314e-05, 'epoch': 0.3}
{'loss': 1.0042, 'grad_norm': 1.0507440567016602, 'learning_rate': 1.9738138597527467e-05, 'epoch': 0.31}
{'loss': 0.9508, 'grad_norm': 0.9524067044258118, 'learning_rate': 1.9732040892773644e-05, 'epoch': 0.31}
{'loss': 0.952, 'grad_norm': 1.078118085861206, 'learning_rate': 1.9725873971010256e-05, 'epoch': 0.31}
{'loss': 1.0019, 'grad_norm': 0.9891988039016724, 'learning_rate': 1.9719637876098186e-05, 'epoch': 0.31}
{'loss': 0.9205, 'grad_norm': 0.9506398439407349, 'learning_rate': 1.9713332652390293e-05, 'epoch': 0.32}
{'loss': 0.9348, 'grad_norm': 0.9469404816627502, 'learning_rate': 1.97069583447311e-05, 'epoch': 0.32}
{'loss': 0.9811, 'grad_norm': 1.0457111597061157, 'learning_rate': 1.9700514998456475e-05, 'epoch': 0.32}
{'loss': 0.9389, 'grad_norm': 1.0600172281265259, 'learning_rate': 1.9694002659393306e-05, 'epoch': 0.32}
{'loss': 0.9183, 'grad_norm': 1.084810733795166, 'learning_rate': 1.9687421373859175e-05, 'epoch': 0.33}
{'loss': 1.0139, 'grad_norm': 1.055675983428955, 'learning_rate': 1.9680771188662044e-05, 'epoch': 0.33}
{'loss': 0.9762, 'grad_norm': 1.0578752756118774, 'learning_rate': 1.967405215109989e-05, 'epoch': 0.33}
{'loss': 0.9372, 'grad_norm': 0.9960739612579346, 'learning_rate': 1.96672643089604e-05, 'epoch': 0.33}
{'loss': 0.9519, 'grad_norm': 0.9838460087776184, 'learning_rate': 1.9660407710520613e-05, 'epoch': 0.34}
{'loss': 0.9691, 'grad_norm': 1.06740403175354, 'learning_rate': 1.9653482404546583e-05, 'epoch': 0.34}
{'loss': 0.9411, 'grad_norm': 0.9713579416275024, 'learning_rate': 1.9646488440293035e-05, 'epoch': 0.34}
{'loss': 0.9885, 'grad_norm': 0.9769254326820374, 'learning_rate': 1.9639425867503008e-05, 'epoch': 0.34}
{'loss': 1.0368, 'grad_norm': 1.0520823001861572, 'learning_rate': 1.96322947364075e-05, 'epoch': 0.35}
{'loss': 1.0448, 'grad_norm': 1.347610354423523, 'learning_rate': 1.9625095097725128e-05, 'epoch': 0.35}
{'loss': 0.8924, 'grad_norm': 0.915257453918457, 'learning_rate': 1.9617827002661734e-05, 'epoch': 0.35}
{'loss': 0.9695, 'grad_norm': 1.010706901550293, 'learning_rate': 1.9610490502910058e-05, 'epoch': 0.35}
{'loss': 0.9596, 'grad_norm': 1.0502643585205078, 'learning_rate': 1.960308565064935e-05, 'epoch': 0.36}
{'loss': 0.9568, 'grad_norm': 1.0246529579162598, 'learning_rate': 1.9595612498544997e-05, 'epoch': 0.36}
{'loss': 0.9714, 'grad_norm': 0.9723366498947144, 'learning_rate': 1.958807109974816e-05, 'epoch': 0.36}
{'loss': 0.94, 'grad_norm': 0.9711217284202576, 'learning_rate': 1.9580461507895382e-05, 'epoch': 0.36}
{'loss': 0.9541, 'grad_norm': 0.9831253886222839, 'learning_rate': 1.957278377710822e-05, 'epoch': 0.37}
{'loss': 0.974, 'grad_norm': 1.0007421970367432, 'learning_rate': 1.9565037961992853e-05, 'epoch': 0.37}
{'loss': 0.9706, 'grad_norm': 1.0505143404006958, 'learning_rate': 1.95572241176397e-05, 'epoch': 0.37}
{'loss': 0.9881, 'grad_norm': 1.0180823802947998, 'learning_rate': 1.9549342299623012e-05, 'epoch': 0.37}
{'loss': 0.9654, 'grad_norm': 1.0174256563186646, 'learning_rate': 1.954139256400049e-05, 'epoch': 0.38}
{'loss': 0.9359, 'grad_norm': 1.0525569915771484, 'learning_rate': 1.9533374967312894e-05, 'epoch': 0.38}
{'loss': 0.9514, 'grad_norm': 0.9228435754776001, 'learning_rate': 1.9525289566583626e-05, 'epoch': 0.38}
{'loss': 0.9761, 'grad_norm': 1.0045113563537598, 'learning_rate': 1.9517136419318323e-05, 'epoch': 0.38}
{'loss': 0.9586, 'grad_norm': 1.0036990642547607, 'learning_rate': 1.950891558350446e-05, 'epoch': 0.39}
{'loss': 0.9696, 'grad_norm': 0.9944820404052734, 'learning_rate': 1.950062711761093e-05, 'epoch': 0.39}
{'loss': 0.9279, 'grad_norm': 1.0372551679611206, 'learning_rate': 1.949227108058764e-05, 'epoch': 0.39}
{'loss': 0.9588, 'grad_norm': 1.0585471391677856, 'learning_rate': 1.9483847531865062e-05, 'epoch': 0.39}
{'loss': 0.9213, 'grad_norm': 0.9981051087379456, 'learning_rate': 1.947535653135385e-05, 'epoch': 0.4}
{'loss': 0.9572, 'grad_norm': 0.9438439607620239, 'learning_rate': 1.9466798139444384e-05, 'epoch': 0.4}
{'loss': 0.943, 'grad_norm': 0.9724539518356323, 'learning_rate': 1.9458172417006347e-05, 'epoch': 0.4}
{'loss': 0.9592, 'grad_norm': 0.9157596826553345, 'learning_rate': 1.9449479425388308e-05, 'epoch': 0.4}
{'loss': 0.99, 'grad_norm': 0.95445716381073, 'learning_rate': 1.9440719226417264e-05, 'epoch': 0.41}
{'loss': 0.9569, 'grad_norm': 1.1108759641647339, 'learning_rate': 1.9431891882398207e-05, 'epoch': 0.41}
{'loss': 1.0098, 'grad_norm': 1.0288689136505127, 'learning_rate': 1.9422997456113695e-05, 'epoch': 0.41}
{'loss': 0.9566, 'grad_norm': 1.0075819492340088, 'learning_rate': 1.941403601082338e-05, 'epoch': 0.41}
{'loss': 0.9352, 'grad_norm': 0.929732620716095, 'learning_rate': 1.9405007610263586e-05, 'epoch': 0.42}
{'loss': 0.9466, 'grad_norm': 0.923828661441803, 'learning_rate': 1.939591231864683e-05, 'epoch': 0.42}
{'loss': 0.8882, 'grad_norm': 0.9496605396270752, 'learning_rate': 1.9386750200661386e-05, 'epoch': 0.42}
{'loss': 0.9658, 'grad_norm': 0.9625687599182129, 'learning_rate': 1.9377521321470806e-05, 'epoch': 0.42}
{'loss': 0.9931, 'grad_norm': 1.0226869583129883, 'learning_rate': 1.936822574671348e-05, 'epoch': 0.43}
{'loss': 1.0156, 'grad_norm': 1.0173827409744263, 'learning_rate': 1.9358863542502137e-05, 'epoch': 0.43}
{'loss': 0.9123, 'grad_norm': 1.0456968545913696, 'learning_rate': 1.9349434775423414e-05, 'epoch': 0.43}
{'loss': 0.9628, 'grad_norm': 0.9762181043624878, 'learning_rate': 1.9339939512537347e-05, 'epoch': 0.43}
{'loss': 1.0265, 'grad_norm': 1.0399677753448486, 'learning_rate': 1.9330377821376916e-05, 'epoch': 0.44}
{'loss': 0.9372, 'grad_norm': 0.9499190449714661, 'learning_rate': 1.9320749769947555e-05, 'epoch': 0.44}
{'loss': 0.9376, 'grad_norm': 0.9401622414588928, 'learning_rate': 1.931105542672667e-05, 'epoch': 0.44}
{'loss': 0.9215, 'grad_norm': 1.0462329387664795, 'learning_rate': 1.9301294860663152e-05, 'epoch': 0.44}
{'loss': 0.9254, 'grad_norm': 1.0032382011413574, 'learning_rate': 1.9291468141176898e-05, 'epoch': 0.45}
{'loss': 0.9709, 'grad_norm': 0.9996802806854248, 'learning_rate': 1.928157533815829e-05, 'epoch': 0.45}
{'loss': 0.9633, 'grad_norm': 1.0033822059631348, 'learning_rate': 1.9271616521967727e-05, 'epoch': 0.45}
{'loss': 0.9647, 'grad_norm': 1.0254570245742798, 'learning_rate': 1.9261591763435106e-05, 'epoch': 0.45}
{'loss': 0.922, 'grad_norm': 0.9161409735679626, 'learning_rate': 1.9251501133859327e-05, 'epoch': 0.46}
{'loss': 0.9559, 'grad_norm': 0.992884635925293, 'learning_rate': 1.9241344705007784e-05, 'epoch': 0.46}
{'loss': 0.968, 'grad_norm': 1.0494260787963867, 'learning_rate': 1.9231122549115854e-05, 'epoch': 0.46}
{'loss': 0.9669, 'grad_norm': 0.9421282410621643, 'learning_rate': 1.922083473888638e-05, 'epoch': 0.46}
{'loss': 0.9592, 'grad_norm': 1.0794156789779663, 'learning_rate': 1.921048134748916e-05, 'epoch': 0.46}
{'loss': 0.9738, 'grad_norm': 1.0317745208740234, 'learning_rate': 1.9200062448560424e-05, 'epoch': 0.47}
{'loss': 0.9741, 'grad_norm': 1.022591471672058, 'learning_rate': 1.918957811620231e-05, 'epoch': 0.47}
{'loss': 0.9705, 'grad_norm': 1.054932713508606, 'learning_rate': 1.917902842498233e-05, 'epoch': 0.47}
{'loss': 0.921, 'grad_norm': 0.9315778017044067, 'learning_rate': 1.9168413449932856e-05, 'epoch': 0.47}
{'loss': 0.9593, 'grad_norm': 0.926695704460144, 'learning_rate': 1.9157733266550577e-05, 'epoch': 0.48}
{'loss': 1.0075, 'grad_norm': 1.0278750658035278, 'learning_rate': 1.9146987950795953e-05, 'epoch': 0.48}
{'loss': 0.9759, 'grad_norm': 1.0221461057662964, 'learning_rate': 1.913617757909269e-05, 'epoch': 0.48}
{'loss': 0.9443, 'grad_norm': 0.9749266505241394, 'learning_rate': 1.9125302228327194e-05, 'epoch': 0.48}
{'loss': 0.9606, 'grad_norm': 0.9610729813575745, 'learning_rate': 1.9114361975848008e-05, 'epoch': 0.49}
{'loss': 0.9248, 'grad_norm': 0.9251009225845337, 'learning_rate': 1.910335689946529e-05, 'epoch': 0.49}
{'loss': 0.93, 'grad_norm': 1.0869154930114746, 'learning_rate': 1.9092287077450227e-05, 'epoch': 0.49}
{'loss': 0.9733, 'grad_norm': 1.0937947034835815, 'learning_rate': 1.9081152588534512e-05, 'epoch': 0.49}
{'loss': 0.9878, 'grad_norm': 1.0862972736358643, 'learning_rate': 1.906995351190976e-05, 'epoch': 0.5}
{'loss': 0.9746, 'grad_norm': 1.0869704484939575, 'learning_rate': 1.9058689927226938e-05, 'epoch': 0.5}
{'loss': 0.9531, 'grad_norm': 1.0146738290786743, 'learning_rate': 1.9047361914595836e-05, 'epoch': 0.5}
{'loss': 0.9581, 'grad_norm': 1.0274749994277954, 'learning_rate': 1.9035969554584465e-05, 'epoch': 0.5}
{'loss': 0.9789, 'grad_norm': 1.0286262035369873, 'learning_rate': 1.9024512928218484e-05, 'epoch': 0.51}
{'loss': 0.9295, 'grad_norm': 1.0790270566940308, 'learning_rate': 1.901299211698064e-05, 'epoch': 0.51}
{'loss': 0.9622, 'grad_norm': 1.0525184869766235, 'learning_rate': 1.9001407202810184e-05, 'epoch': 0.51}
{'loss': 0.9797, 'grad_norm': 1.0129936933517456, 'learning_rate': 1.8989758268102276e-05, 'epoch': 0.51}
{'loss': 0.9423, 'grad_norm': 1.0731966495513916, 'learning_rate': 1.897804539570742e-05, 'epoch': 0.52}
{'loss': 0.9715, 'grad_norm': 0.9153320789337158, 'learning_rate': 1.8966268668930847e-05, 'epoch': 0.52}
{'loss': 0.9161, 'grad_norm': 0.9547720551490784, 'learning_rate': 1.895442817153195e-05, 'epoch': 0.52}
{'loss': 0.8936, 'grad_norm': 0.9750210642814636, 'learning_rate': 1.894252398772368e-05, 'epoch': 0.52}
{'loss': 0.9488, 'grad_norm': 0.9858733415603638, 'learning_rate': 1.8930556202171932e-05, 'epoch': 0.53}
{'loss': 0.9377, 'grad_norm': 1.0856701135635376, 'learning_rate': 1.891852489999496e-05, 'epoch': 0.53}
{'loss': 0.9247, 'grad_norm': 0.893576443195343, 'learning_rate': 1.8906430166762764e-05, 'epoch': 0.53}
{'loss': 0.9863, 'grad_norm': 0.9966234564781189, 'learning_rate': 1.8894272088496488e-05, 'epoch': 0.53}
{'loss': 1.0189, 'grad_norm': 1.0593615770339966, 'learning_rate': 1.88820507516678e-05, 'epoch': 0.54}
{'loss': 0.954, 'grad_norm': 1.0403945446014404, 'learning_rate': 1.8869766243198288e-05, 'epoch': 0.54}
{'loss': 0.9988, 'grad_norm': 1.027614712715149, 'learning_rate': 1.885741865045882e-05, 'epoch': 0.54}
{'loss': 1.0246, 'grad_norm': 0.969275951385498, 'learning_rate': 1.8845008061268948e-05, 'epoch': 0.54}
{'loss': 0.9412, 'grad_norm': 0.9704077839851379, 'learning_rate': 1.8832534563896267e-05, 'epoch': 0.55}
{'loss': 0.9406, 'grad_norm': 0.9955523610115051, 'learning_rate': 1.88199982470558e-05, 'epoch': 0.55}
{'loss': 0.9753, 'grad_norm': 1.0223010778427124, 'learning_rate': 1.8807399199909353e-05, 'epoch': 0.55}
{'loss': 0.9978, 'grad_norm': 1.0674502849578857, 'learning_rate': 1.879473751206489e-05, 'epoch': 0.55}
{'loss': 0.9967, 'grad_norm': 1.0500236749649048, 'learning_rate': 1.8782013273575897e-05, 'epoch': 0.56}
{'loss': 0.8818, 'grad_norm': 0.8857423067092896, 'learning_rate': 1.8769226574940727e-05, 'epoch': 0.56}
{'loss': 0.9691, 'grad_norm': 1.0385428667068481, 'learning_rate': 1.8756377507101976e-05, 'epoch': 0.56}
